iter	Logloss
0	0.6532764563
1	0.6232221841
2	0.5959290959
3	0.5750052765
4	0.5573465037
5	0.5419385661
6	0.5290147796
7	0.5182574233
8	0.509322799
9	0.5029865731
10	0.497271954
11	0.4908271194
12	0.4870202272
13	0.4816409427
14	0.4787939785
15	0.4749049474
16	0.4720264353
17	0.4702416486
18	0.4675320742
19	0.4662564563
20	0.4649713226
21	0.4631534154
22	0.4621490316
23	0.4608623759
24	0.4595640776
25	0.4587686368
26	0.4581461463
27	0.4573703479
28	0.4568092231
29	0.4562683357
30	0.4557511244
31	0.4555096746
32	0.4552291743
33	0.4550803349
34	0.4549022106
35	0.4546809108
36	0.4545300326
37	0.4543040473
38	0.4541113671
39	0.4538808068
40	0.4537367751
41	0.4536623776
42	0.4536269679
43	0.4535154629
44	0.4533749095
45	0.4532839644
46	0.4532484546
47	0.4531863118
48	0.4531620406
49	0.4531135268
50	0.4530407572
51	0.4529980294
52	0.4528729557
53	0.4528159655
54	0.4527506709
55	0.4527087931
56	0.4526725403
57	0.4526493315
58	0.4526271025
59	0.4525988609
60	0.4525751907
61	0.452548616
62	0.4524846564
63	0.4524561972
64	0.4524569645
65	0.4524159666
66	0.452391865
67	0.4523616944
68	0.452347056
69	0.4523305297
70	0.4523112907
71	0.4522954981
72	0.4522776513
73	0.452266075
74	0.4522500832
75	0.4522313074
76	0.4522156221
77	0.4521895902
78	0.4521787105
79	0.4521466096
80	0.4521152163
81	0.4520975497
82	0.4520888411
83	0.4520736631
84	0.4520544798
85	0.4520357633
86	0.4520164604
87	0.4520005978
88	0.4519847482
89	0.4519567544
90	0.4519460731
91	0.4519377538
92	0.4519191653
93	0.4519006915
94	0.4518816666
95	0.451873757
96	0.4518607629
97	0.451845554
98	0.4518461785
99	0.4518302805
100	0.4518301836
101	0.4518229746
102	0.4518142039
103	0.4518093721
104	0.4517949424
105	0.4517781151
106	0.4517629359
107	0.4517531395
108	0.4517386614
109	0.4517257979
110	0.4517110506
111	0.4516995135
112	0.4516850725
113	0.4516713732
114	0.4516474321
115	0.451640279
116	0.4516300152
117	0.4516216752
118	0.4516069693
119	0.4515934303
120	0.4515836661
121	0.4515676739
122	0.4515529819
123	0.4515350709
124	0.4515309856
125	0.4515185017
126	0.4515171446
127	0.4515123323
128	0.4515094947
129	0.4515017395
130	0.4514930228
131	0.4514795456
132	0.4514637689
133	0.451458297
134	0.4514534822
135	0.4514392713
136	0.4513999062
137	0.451395121
138	0.4513854815
139	0.4513717427
140	0.4513620073
141	0.4513527737
142	0.4513429379
143	0.4513287294
144	0.4513180042
145	0.4513035166
146	0.4512916237
147	0.4512801665
148	0.4512591139
149	0.451245005
150	0.4512365361
151	0.4512234557
152	0.4512121804
153	0.4511983086
154	0.4511847386
155	0.4511794294
156	0.4511667956
157	0.4511486519
158	0.4511192113
159	0.4511116311
160	0.4511019502
161	0.4510912884
162	0.4510835438
163	0.4510727198
164	0.4510600677
165	0.4510509785
166	0.4510434122
167	0.451029114
168	0.4510190664
169	0.4510078986
170	0.4510000579
171	0.4509874668
172	0.4509760742
173	0.4509663144
174	0.4509555213
175	0.4509409433
176	0.4509343429
177	0.4509224341
178	0.4509168884
179	0.4509051796
180	0.45089618
181	0.4508889044
182	0.4508770632
183	0.4508619893
184	0.4508513392
185	0.4508410687
186	0.4508337519
187	0.4508228759
188	0.4508133053
189	0.4508084055
190	0.4507940713
191	0.4507853567
192	0.4507739856
193	0.4507667862
194	0.4507556771
195	0.4507503682
196	0.4507429357
197	0.450733272
198	0.4507231878
199	0.4507152637
200	0.450703759
201	0.4506972297
202	0.4506838705
203	0.4506798465
204	0.4506635072
205	0.4506590087
206	0.4506507938
207	0.4506372202
208	0.4506243924
209	0.4506143779
210	0.4506008386
211	0.4505948301
212	0.4505853924
213	0.4505798323
214	0.4505627947
215	0.4505534054
216	0.4505464734
217	0.4505382516
218	0.4505285347
219	0.4505240977
220	0.4505171203
221	0.4505082565
222	0.4504954076
223	0.45049108
224	0.4504831491
225	0.4504756481
226	0.4504671683
227	0.4504579365
228	0.4504552643
229	0.4504465116
230	0.4504387934
231	0.4504322003
232	0.4504243844
233	0.4504156562
