iter	Passed	Remaining
0	28	28549
1	47	23516
2	68	22746
3	90	22537
4	110	21910
5	130	21537
6	150	21315
7	172	21372
8	192	21171
9	212	21005
10	234	21038
11	261	21509
12	283	21502
13	313	22054
14	344	22638
15	376	23182
16	407	23551
17	427	23341
18	451	23290
19	473	23202
20	495	23103
21	520	23139
22	543	23101
23	568	23129
24	594	23186
25	624	23393
26	649	23402
27	674	23421
28	700	23442
29	725	23456
30	750	23460
31	772	23379
32	799	23431
33	821	23351
34	846	23342
35	869	23280
36	899	23415
37	926	23446
38	957	23587
39	989	23738
40	1017	23797
41	1041	23758
42	1064	23690
43	1087	23628
44	1111	23579
45	1132	23490
46	1152	23373
47	1171	23242
48	1190	23101
49	1213	23051
50	1234	22968
51	1259	22962
52	1287	22997
53	1320	23125
54	1346	23142
55	1376	23198
56	1396	23095
57	1419	23047
58	1440	22974
59	1461	22898
60	1487	22899
61	1511	22871
62	1538	22875
63	1561	22841
64	1578	22702
65	1597	22602
66	1619	22547
67	1639	22476
68	1661	22412
69	1681	22334
70	1710	22378
71	1738	22405
72	1770	22485
73	1792	22429
74	1811	22340
75	1833	22294
76	1856	22258
77	1875	22170
78	1897	22119
79	1919	22078
80	1938	21998
81	1961	21955
82	1979	21870
83	1998	21790
84	2019	21740
85	2040	21687
86	2063	21658
87	2083	21593
88	2103	21536
89	2121	21452
90	2140	21381
91	2162	21340
92	2189	21357
93	2221	21408
94	2253	21467
95	2315	21808
96	2340	21784
97	2368	21801
98	2385	21709
99	2415	21739
100	2428	21616
101	2450	21572
102	2470	21518
103	2490	21456
104	2509	21391
105	2528	21322
106	2547	21257
107	2568	21211
108	2601	21261
109	2628	21266
110	2647	21204
111	2666	21144
112	2691	21127
113	2721	21152
114	2753	21186
115	2779	21185
116	2802	21148
117	2818	21070
118	2839	21022
119	2861	20986
120	2883	20948
121	2907	20924
122	2926	20866
123	2949	20835
124	2969	20788
125	2990	20740
126	3005	20659
127	3022	20589
128	3042	20540
129	3113	20838
130	3174	21056
131	3225	21208
132	3251	21196
133	3279	21192
134	3299	21140
135	3324	21117
136	3343	21064
137	3362	21005
138	3380	20938
139	3399	20883
140	3422	20851
141	3443	20808
142	3465	20768
143	3486	20726
144	3508	20688
145	3525	20623
146	3543	20560
147	3563	20515
148	3583	20463
149	3606	20434
150	3624	20380
151	3643	20324
152	3668	20306
153	3699	20323
154	3729	20333
155	3757	20329
156	3778	20288
157	3797	20236
158	3821	20210
159	3843	20179
160	3866	20150
161	3889	20120
162	3909	20074
163	3930	20034
164	3953	20007
165	3972	19956
166	3990	19903
167	4008	19852
168	4026	19799
169	4049	19773
170	4071	19740
171	4092	19700
172	4112	19659
173	4133	19623
174	4158	19603
175	4189	19615
176	4221	19629
177	4246	19610
178	4270	19588
179	4291	19551
180	4313	19517
181	4332	19472
182	4354	19438
183	4372	19389
184	4393	19353
185	4411	19306
186	4430	19260
187	4455	19245
188	4480	19227
189	4506	19210
190	4531	19195
191	4554	19167
192	4576	19135
193	4594	19087
194	4618	19067
195	4647	19064
196	4677	19066
197	4706	19064
198	4731	19044
199	4754	19017
200	4777	18991
201	4796	18948
202	4819	18921
203	4843	18900
204	4862	18855
205	4883	18820
206	4906	18795
207	4928	18765
208	4949	18731
209	4972	18707
210	4992	18667
211	5010	18624
212	5031	18591
213	5052	18558
214	5072	18520
215	5094	18490
216	5116	18463
217	5146	18462
218	5174	18451
219	5195	18421
220	5221	18405
221	5247	18388
222	5271	18365
223	5291	18330
224	5308	18285
225	5327	18244
226	5345	18201
227	5367	18175
228	5385	18132
229	5403	18089
230	5421	18048
231	5441	18012
232	5461	17978
233	5483	17950
234	5503	17915
235	5521	17874
236	5542	17843
237	5575	17849
238	5603	17840
239	5632	17837
240	5655	17809
241	5683	17801
242	5707	17780
243	5729	17751
244	5748	17715
245	5770	17687
246	5791	17657
247	5814	17630
248	5837	17605
249	5858	17575
250	5876	17536
251	5898	17509
252	5920	17480
253	5940	17447
254	5958	17408
255	5979	17377
256	5998	17342
257	6020	17314
258	6040	17283
259	6059	17246
260	6089	17242
261	6113	17220
262	6135	17194
263	6157	17167
264	6185	17156
265	6208	17130
266	6234	17115
267	6257	17090
268	6279	17064
269	6301	17038
270	6322	17008
271	6344	16981
272	6365	16952
273	6386	16921
274	6406	16890
275	6429	16865
276	6448	16831
277	6467	16795
278	6487	16765
